@relation NNGC1_dataset_E1_V1_001
@attribute TimeStamp real [5, 374]
@attribute Lag04 real [0, 95]
@attribute Lag03 real [0, 95]
@attribute Lag02 real [0, 95]
@attribute Lag01 real [0, 95]
@attribute Lag00 real [0, 95]
@inputs Lag04, Lag03, Lag02, Lag01
@outputs Lag00
@data
85, 83, 72, 73, 16, 24
86, 72, 73, 16, 24, 2
87, 73, 16, 24, 2, 5
88, 16, 24, 2, 5, 45
89, 24, 2, 5, 45, 82
90, 2, 5, 45, 82, 78
91, 5, 45, 82, 78, 60
92, 45, 82, 78, 60, 25
93, 82, 78, 60, 25, 2
94, 78, 60, 25, 2, 58
95, 60, 25, 2, 58, 79
96, 25, 2, 58, 79, 74
97, 2, 58, 79, 74, 62
98, 58, 79, 74, 62, 54
99, 79, 74, 62, 54, 29
100, 74, 62, 54, 29, 3
101, 62, 54, 29, 3, 59
102, 54, 29, 3, 59, 84
103, 29, 3, 59, 84, 67
104, 3, 59, 84, 67, 79
105, 59, 84, 67, 79, 66
106, 84, 67, 79, 66, 34
107, 67, 79, 66, 34, 2
108, 79, 66, 34, 2, 49
109, 66, 34, 2, 49, 83
110, 34, 2, 49, 83, 70
111, 2, 49, 83, 70, 53
112, 49, 83, 70, 53, 58
113, 83, 70, 53, 58, 35
114, 70, 53, 58, 35, 4
115, 53, 58, 35, 4, 51
116, 58, 35, 4, 51, 74
117, 35, 4, 51, 74, 70
118, 4, 51, 74, 70, 83
119, 51, 74, 70, 83, 61
120, 74, 70, 83, 61, 34
121, 70, 83, 61, 34, 9
122, 83, 61, 34, 9, 50
123, 61, 34, 9, 50, 76
124, 34, 9, 50, 76, 69
125, 9, 50, 76, 69, 10
126, 50, 76, 69, 10, 43
127, 76, 69, 10, 43, 39
128, 69, 10, 43, 39, 9
129, 10, 43, 39, 9, 51
130, 43, 39, 9, 51, 69
131, 39, 9, 51, 69, 84
132, 9, 51, 69, 84, 66
133, 51, 69, 84, 66, 68
134, 69, 84, 66, 68, 27
135, 84, 66, 68, 27, 2
136, 66, 68, 27, 2, 6
137, 68, 27, 2, 6, 44
138, 27, 2, 6, 44, 85
139, 2, 6, 44, 85, 88
140, 6, 44, 85, 88, 69
141, 44, 85, 88, 69, 30
142, 85, 88, 69, 30, 4
143, 88, 69, 30, 4, 50
144, 69, 30, 4, 50, 78
145, 30, 4, 50, 78, 79
146, 4, 50, 78, 79, 38
147, 50, 78, 79, 38, 72
148, 78, 79, 38, 72, 34
149, 79, 38, 72, 34, 6
150, 38, 72, 34, 6, 51
151, 72, 34, 6, 51, 71
152, 34, 6, 51, 71, 75
153, 6, 51, 71, 75, 73
154, 51, 71, 75, 73, 57
155, 71, 75, 73, 57, 33
156, 75, 73, 57, 33, 4
157, 73, 57, 33, 4, 68
158, 57, 33, 4, 68, 75
159, 33, 4, 68, 75, 89
160, 4, 68, 75, 89, 90
161, 68, 75, 89, 90, 84
162, 75, 89, 90, 84, 34
163, 89, 90, 84, 34, 4
164, 90, 84, 34, 4, 47
165, 84, 34, 4, 47, 73
166, 34, 4, 47, 73, 83
167, 4, 47, 73, 83, 69
168, 47, 73, 83, 69, 78
169, 73, 83, 69, 78, 45
170, 83, 69, 78, 45, 6
171, 69, 78, 45, 6, 49
172, 78, 45, 6, 49, 74
173, 45, 6, 49, 74, 95
174, 6, 49, 74, 95, 81
175, 49, 74, 95, 81, 82
176, 74, 95, 81, 82, 50
177, 95, 81, 82, 50, 11
178, 81, 82, 50, 11, 51
179, 82, 50, 11, 51, 72
180, 50, 11, 51, 72, 48
181, 11, 51, 72, 48, 80
182, 51, 72, 48, 80, 59
183, 72, 48, 80, 59, 37
184, 48, 80, 59, 37, 6
185, 80, 59, 37, 6, 44
186, 59, 37, 6, 44, 75
187, 37, 6, 44, 75, 80
188, 6, 44, 75, 80, 69
189, 44, 75, 80, 69, 68
190, 75, 80, 69, 68, 30
191, 80, 69, 68, 30, 5
192, 69, 68, 30, 5, 49
193, 68, 30, 5, 49, 67
194, 30, 5, 49, 67, 77
195, 5, 49, 67, 77, 68
196, 49, 67, 77, 68, 60
197, 67, 77, 68, 60, 33
198, 77, 68, 60, 33, 11
199, 68, 60, 33, 11, 46
200, 60, 33, 11, 46, 70
201, 33, 11, 46, 70, 66
202, 11, 46, 70, 66, 75
203, 46, 70, 66, 75, 63
204, 70, 66, 75, 63, 43
205, 66, 75, 63, 43, 6
206, 75, 63, 43, 6, 45
207, 63, 43, 6, 45, 64
208, 43, 6, 45, 64, 65
209, 6, 45, 64, 65, 67
210, 45, 64, 65, 67, 64
211, 64, 65, 67, 64, 30
212, 65, 67, 64, 30, 1
213, 67, 64, 30, 1, 2
214, 64, 30, 1, 2, 48
215, 30, 1, 2, 48, 70
216, 1, 2, 48, 70, 61
217, 2, 48, 70, 61, 56
218, 48, 70, 61, 56, 42
219, 70, 61, 56, 42, 11
220, 61, 56, 42, 11, 32
221, 56, 42, 11, 32, 63
222, 42, 11, 32, 63, 50
223, 11, 32, 63, 50, 64
224, 32, 63, 50, 64, 60
225, 63, 50, 64, 60, 22
226, 50, 64, 60, 22, 10
227, 64, 60, 22, 10, 18
228, 60, 22, 10, 18, 70
229, 22, 10, 18, 70, 47
230, 10, 18, 70, 47, 63
231, 18, 70, 47, 63, 60
232, 70, 47, 63, 60, 25
233, 47, 63, 60, 25, 5
234, 63, 60, 25, 5, 55
235, 60, 25, 5, 55, 40
236, 25, 5, 55, 40, 39
237, 5, 55, 40, 39, 51
238, 55, 40, 39, 51, 41
239, 40, 39, 51, 41, 23
240, 39, 51, 41, 23, 1
241, 51, 41, 23, 1, 37
242, 41, 23, 1, 37, 76
243, 23, 1, 37, 76, 75
244, 1, 37, 76, 75, 64
245, 37, 76, 75, 64, 68
246, 76, 75, 64, 68, 42
247, 75, 64, 68, 42, 4
248, 64, 68, 42, 4, 41
249, 68, 42, 4, 41, 71
250, 42, 4, 41, 71, 79
251, 4, 41, 71, 79, 68
252, 41, 71, 79, 68, 63
253, 71, 79, 68, 63, 35
254, 79, 68, 63, 35, 5
255, 68, 63, 35, 5, 41
256, 63, 35, 5, 41, 62
257, 35, 5, 41, 62, 79
258, 5, 41, 62, 79, 53
259, 41, 62, 79, 53, 55
260, 62, 79, 53, 55, 32
261, 79, 53, 55, 32, 4
262, 53, 55, 32, 4, 52
263, 55, 32, 4, 52, 73
264, 32, 4, 52, 73, 81
265, 4, 52, 73, 81, 69
266, 52, 73, 81, 69, 69
267, 73, 81, 69, 69, 34
268, 81, 69, 69, 34, 7
269, 69, 69, 34, 7, 42
270, 69, 34, 7, 42, 70
271, 34, 7, 42, 70, 83
272, 7, 42, 70, 83, 67
273, 42, 70, 83, 67, 70
274, 70, 83, 67, 70, 39
275, 83, 67, 70, 39, 5
276, 67, 70, 39, 5, 43
277, 70, 39, 5, 43, 65
278, 39, 5, 43, 65, 72
279, 5, 43, 65, 72, 90
280, 43, 65, 72, 90, 71
281, 65, 72, 90, 71, 28
282, 72, 90, 71, 28, 1
283, 90, 71, 28, 1, 37
284, 71, 28, 1, 37, 89
285, 28, 1, 37, 89, 68
286, 1, 37, 89, 68, 80
287, 37, 89, 68, 80, 59
288, 89, 68, 80, 59, 30
289, 68, 80, 59, 30, 8
290, 80, 59, 30, 8, 51
291, 59, 30, 8, 51, 82
292, 30, 8, 51, 82, 41
293, 8, 51, 82, 41, 0
294, 51, 82, 41, 0, 7
295, 82, 41, 0, 7, 26
296, 41, 0, 7, 26, 5
297, 0, 7, 26, 5, 51
298, 7, 26, 5, 51, 80
299, 26, 5, 51, 80, 63
300, 5, 51, 80, 63, 64
301, 51, 80, 63, 64, 66
302, 80, 63, 64, 66, 26
303, 63, 64, 66, 26, 5
304, 64, 66, 26, 5, 40
305, 66, 26, 5, 40, 24
306, 26, 5, 40, 24, 59
307, 5, 40, 24, 59, 69
308, 40, 24, 59, 69, 73
309, 24, 59, 69, 73, 27
310, 59, 69, 73, 27, 5
311, 69, 73, 27, 5, 45
312, 73, 27, 5, 45, 60
313, 27, 5, 45, 60, 63
314, 5, 45, 60, 63, 58
315, 45, 60, 63, 58, 53
316, 60, 63, 58, 53, 14
317, 63, 58, 53, 14, 3
318, 58, 53, 14, 3, 42
319, 53, 14, 3, 42, 64
320, 14, 3, 42, 64, 57
321, 3, 42, 64, 57, 59
322, 42, 64, 57, 59, 54
323, 64, 57, 59, 54, 24
324, 57, 59, 54, 24, 7
325, 59, 54, 24, 7, 42
326, 54, 24, 7, 42, 63
327, 24, 7, 42, 63, 58
328, 7, 42, 63, 58, 63
329, 42, 63, 58, 63, 41
330, 63, 58, 63, 41, 16
331, 58, 63, 41, 16, 2
332, 63, 41, 16, 2, 45
333, 41, 16, 2, 45, 61
334, 16, 2, 45, 61, 71
335, 2, 45, 61, 71, 71
336, 45, 61, 71, 71, 56
337, 61, 71, 71, 56, 25
338, 71, 71, 56, 25, 4
339, 71, 56, 25, 4, 45
340, 56, 25, 4, 45, 64
341, 25, 4, 45, 64, 63
342, 4, 45, 64, 63, 31
343, 45, 64, 63, 31, 53
344, 64, 63, 31, 53, 25
345, 63, 31, 53, 25, 3
346, 31, 53, 25, 3, 45
347, 53, 25, 3, 45, 62
348, 25, 3, 45, 62, 69
349, 3, 45, 62, 69, 75
350, 45, 62, 69, 75, 58
351, 62, 69, 75, 58, 39
352, 69, 75, 58, 39, 5
353, 75, 58, 39, 5, 43
354, 58, 39, 5, 43, 70
355, 39, 5, 43, 70, 67
356, 5, 43, 70, 67, 66
357, 43, 70, 67, 66, 53
358, 70, 67, 66, 53, 17
359, 67, 66, 53, 17, 0
360, 66, 53, 17, 0, 1
361, 53, 17, 0, 1, 34
362, 17, 0, 1, 34, 34
363, 0, 1, 34, 34, 32
364, 1, 34, 34, 32, 23
365, 34, 34, 32, 23, 7
366, 34, 32, 23, 7, 2
367, 32, 23, 7, 2, 8
368, 23, 7, 2, 8, 31
369, 7, 2, 8, 31, 39
370, 2, 8, 31, 39, 42
371, 8, 31, 39, 42, 33
372, 31, 39, 42, 33, 12
373, 39, 42, 33, 12, 2
374, 42, 33, 12, 2, 42
