@relation NNGC1_dataset_F1_V1_006
@attribute TimeStamp real [5, 1739]
@attribute Lag04 real [317, 18771]
@attribute Lag03 real [317, 18771]
@attribute Lag02 real [317, 18771]
@attribute Lag01 real [317, 18771]
@attribute Lag00 real [317, 18771]
@inputs Lag04, Lag03, Lag02, Lag01
@outputs Lag00
@data
177, 13603, 11444, 8318, 5189, 3353
178, 11444, 8318, 5189, 3353, 2350
179, 8318, 5189, 3353, 2350, 1597
180, 5189, 3353, 2350, 1597, 806
181, 3353, 2350, 1597, 806, 1119
182, 2350, 1597, 806, 1119, 2969
183, 1597, 806, 1119, 2969, 10388
184, 806, 1119, 2969, 10388, 18099
185, 1119, 2969, 10388, 18099, 11864
186, 2969, 10388, 18099, 11864, 7348
187, 10388, 18099, 11864, 7348, 6670
188, 18099, 11864, 7348, 6670, 7692
189, 11864, 7348, 6670, 7692, 8578
190, 7348, 6670, 7692, 8578, 7766
191, 6670, 7692, 8578, 7766, 8876
192, 7692, 8578, 7766, 8876, 10514
193, 8578, 7766, 8876, 10514, 13267
194, 7766, 8876, 10514, 13267, 11581
195, 8876, 10514, 13267, 11581, 8472
196, 10514, 13267, 11581, 8472, 4969
197, 13267, 11581, 8472, 4969, 2968
198, 11581, 8472, 4969, 2968, 2325
199, 8472, 4969, 2968, 2325, 1925
200, 4969, 2968, 2325, 1925, 866
201, 2968, 2325, 1925, 866, 1127
202, 2325, 1925, 866, 1127, 2778
203, 1925, 866, 1127, 2778, 10030
204, 866, 1127, 2778, 10030, 17123
205, 1127, 2778, 10030, 17123, 12078
206, 2778, 10030, 17123, 12078, 7968
207, 10030, 17123, 12078, 7968, 7292
208, 17123, 12078, 7968, 7292, 8658
209, 12078, 7968, 7292, 8658, 9665
210, 7968, 7292, 8658, 9665, 9268
211, 7292, 8658, 9665, 9268, 9836
212, 8658, 9665, 9268, 9836, 11295
213, 9665, 9268, 9836, 11295, 14886
214, 9268, 9836, 11295, 14886, 12910
215, 9836, 11295, 14886, 12910, 9649
216, 11295, 14886, 12910, 9649, 6094
217, 14886, 12910, 9649, 6094, 3968
218, 12910, 9649, 6094, 3968, 2553
219, 9649, 6094, 3968, 2553, 2094
220, 6094, 3968, 2553, 2094, 1022
221, 3968, 2553, 2094, 1022, 1083
222, 2553, 2094, 1022, 1083, 2861
223, 2094, 1022, 1083, 2861, 10225
224, 1022, 1083, 2861, 10225, 18036
225, 1083, 2861, 10225, 18036, 12205
226, 2861, 10225, 18036, 12205, 7655
227, 10225, 18036, 12205, 7655, 6836
228, 18036, 12205, 7655, 6836, 8095
229, 12205, 7655, 6836, 8095, 8916
230, 7655, 6836, 8095, 8916, 8484
231, 6836, 8095, 8916, 8484, 8882
232, 8095, 8916, 8484, 8882, 11290
233, 8916, 8484, 8882, 11290, 14374
234, 8484, 8882, 11290, 14374, 12383
235, 8882, 11290, 14374, 12383, 9842
236, 11290, 14374, 12383, 9842, 5929
237, 14374, 12383, 9842, 5929, 3829
238, 12383, 9842, 5929, 3829, 2638
239, 9842, 5929, 3829, 2638, 2293
240, 5929, 3829, 2638, 2293, 1091
241, 3829, 2638, 2293, 1091, 1257
242, 2638, 2293, 1091, 1257, 2855
243, 2293, 1091, 1257, 2855, 9772
244, 1091, 1257, 2855, 9772, 17318
245, 1257, 2855, 9772, 17318, 12017
246, 2855, 9772, 17318, 12017, 7957
247, 9772, 17318, 12017, 7957, 7464
248, 17318, 12017, 7957, 7464, 8717
249, 12017, 7957, 7464, 8717, 9210
250, 7957, 7464, 8717, 9210, 9071
251, 7464, 8717, 9210, 9071, 9954
252, 8717, 9210, 9071, 9954, 12399
253, 9210, 9071, 9954, 12399, 14121
254, 9071, 9954, 12399, 14121, 11861
255, 9954, 12399, 14121, 11861, 9722
256, 12399, 14121, 11861, 9722, 6122
257, 14121, 11861, 9722, 6122, 4166
258, 11861, 9722, 6122, 4166, 2899
259, 9722, 6122, 4166, 2899, 2621
260, 6122, 4166, 2899, 2621, 1581
261, 4166, 2899, 2621, 1581, 699
262, 2899, 2621, 1581, 699, 1172
263, 2621, 1581, 699, 1172, 2638
264, 1581, 699, 1172, 2638, 4452
265, 699, 1172, 2638, 4452, 5895
266, 1172, 2638, 4452, 5895, 6746
267, 2638, 4452, 5895, 6746, 7449
268, 4452, 5895, 6746, 7449, 8090
269, 5895, 6746, 7449, 8090, 9043
270, 6746, 7449, 8090, 9043, 10877
271, 7449, 8090, 9043, 10877, 11863
272, 8090, 9043, 10877, 11863, 12194
273, 9043, 10877, 11863, 12194, 12955
274, 10877, 11863, 12194, 12955, 11531
275, 11863, 12194, 12955, 11531, 9468
276, 12194, 12955, 11531, 9468, 6048
277, 12955, 11531, 9468, 6048, 4323
278, 11531, 9468, 6048, 4323, 3189
279, 9468, 6048, 4323, 3189, 3118
280, 6048, 4323, 3189, 3118, 2153
281, 4323, 3189, 3118, 2153, 508
282, 3189, 3118, 2153, 508, 631
283, 3118, 2153, 508, 631, 973
284, 2153, 508, 631, 973, 1688
285, 508, 631, 973, 1688, 2904
286, 631, 973, 1688, 2904, 4136
287, 973, 1688, 2904, 4136, 4797
288, 1688, 2904, 4136, 4797, 5416
289, 2904, 4136, 4797, 5416, 5986
290, 4136, 4797, 5416, 5986, 7000
291, 4797, 5416, 5986, 7000, 7398
292, 5416, 5986, 7000, 7398, 7581
293, 5986, 7000, 7398, 7581, 8156
294, 7000, 7398, 7581, 8156, 7788
295, 7398, 7581, 8156, 7788, 6190
296, 7581, 8156, 7788, 6190, 3957
297, 8156, 7788, 6190, 3957, 3005
298, 7788, 6190, 3957, 3005, 1932
299, 6190, 3957, 3005, 1932, 1859
300, 3957, 3005, 1932, 1859, 1956
301, 3005, 1932, 1859, 1956, 1212
302, 1932, 1859, 1956, 1212, 2815
303, 1859, 1956, 1212, 2815, 9725
304, 1956, 1212, 2815, 9725, 17243
305, 1212, 2815, 9725, 17243, 11233
306, 2815, 9725, 17243, 11233, 7042
307, 9725, 17243, 11233, 7042, 6411
308, 17243, 11233, 7042, 6411, 7418
309, 11233, 7042, 6411, 7418, 8327
310, 7042, 6411, 7418, 8327, 7589
311, 6411, 7418, 8327, 7589, 8583
312, 7418, 8327, 7589, 8583, 10844
313, 8327, 7589, 8583, 10844, 13089
314, 7589, 8583, 10844, 13089, 11461
315, 8583, 10844, 13089, 11461, 8656
316, 10844, 13089, 11461, 8656, 5301
317, 13089, 11461, 8656, 5301, 3267
318, 11461, 8656, 5301, 3267, 2069
319, 8656, 5301, 3267, 2069, 1476
320, 5301, 3267, 2069, 1476, 695
321, 3267, 2069, 1476, 695, 1089
322, 2069, 1476, 695, 1089, 2891
323, 1476, 695, 1089, 2891, 10180
324, 695, 1089, 2891, 10180, 18236
325, 1089, 2891, 10180, 18236, 11901
326, 2891, 10180, 18236, 11901, 7605
327, 10180, 18236, 11901, 7605, 6977
328, 18236, 11901, 7605, 6977, 7862
329, 11901, 7605, 6977, 7862, 8714
330, 7605, 6977, 7862, 8714, 7683
331, 6977, 7862, 8714, 7683, 8497
332, 7862, 8714, 7683, 8497, 10870
333, 8714, 7683, 8497, 10870, 13723
334, 7683, 8497, 10870, 13723, 12687
335, 8497, 10870, 13723, 12687, 9306
336, 10870, 13723, 12687, 9306, 5245
337, 13723, 12687, 9306, 5245, 2780
338, 12687, 9306, 5245, 2780, 2174
339, 9306, 5245, 2780, 2174, 1804
340, 5245, 2780, 2174, 1804, 799
341, 2780, 2174, 1804, 799, 1118
342, 2174, 1804, 799, 1118, 2701
343, 1804, 799, 1118, 2701, 9580
344, 799, 1118, 2701, 9580, 16075
345, 1118, 2701, 9580, 16075, 10928
346, 2701, 9580, 16075, 10928, 6779
347, 9580, 16075, 10928, 6779, 6242
348, 16075, 10928, 6779, 6242, 7423
349, 10928, 6779, 6242, 7423, 8269
350, 6779, 6242, 7423, 8269, 8225
351, 6242, 7423, 8269, 8225, 9076
352, 7423, 8269, 8225, 9076, 10741
353, 8269, 8225, 9076, 10741, 12436
354, 8225, 9076, 10741, 12436, 10784
355, 9076, 10741, 12436, 10784, 8467
356, 10741, 12436, 10784, 8467, 5530
357, 12436, 10784, 8467, 5530, 3582
358, 10784, 8467, 5530, 3582, 2289
359, 8467, 5530, 3582, 2289, 2034
360, 5530, 3582, 2289, 2034, 957
361, 3582, 2289, 2034, 957, 1069
362, 2289, 2034, 957, 1069, 2625
363, 2034, 957, 1069, 2625, 8712
364, 957, 1069, 2625, 8712, 16690
365, 1069, 2625, 8712, 16690, 11203
366, 2625, 8712, 16690, 11203, 7354
367, 8712, 16690, 11203, 7354, 6897
368, 16690, 11203, 7354, 6897, 7846
369, 11203, 7354, 6897, 7846, 9207
370, 7354, 6897, 7846, 9207, 9028
371, 6897, 7846, 9207, 9028, 9243
372, 7846, 9207, 9028, 9243, 10788
373, 9207, 9028, 9243, 10788, 13143
374, 9028, 9243, 10788, 13143, 11850
375, 9243, 10788, 13143, 11850, 8875
376, 10788, 13143, 11850, 8875, 5342
377, 13143, 11850, 8875, 5342, 3272
378, 11850, 8875, 5342, 3272, 2460
379, 8875, 5342, 3272, 2460, 2103
380, 5342, 3272, 2460, 2103, 1013
381, 3272, 2460, 2103, 1013, 1221
382, 2460, 2103, 1013, 1221, 2772
383, 2103, 1013, 1221, 2772, 9340
384, 1013, 1221, 2772, 9340, 17158
385, 1221, 2772, 9340, 17158, 11413
386, 2772, 9340, 17158, 11413, 7386
387, 9340, 17158, 11413, 7386, 7068
388, 17158, 11413, 7386, 7068, 8336
389, 11413, 7386, 7068, 8336, 8584
390, 7386, 7068, 8336, 8584, 8380
391, 7068, 8336, 8584, 8380, 9327
392, 8336, 8584, 8380, 9327, 11701
393, 8584, 8380, 9327, 11701, 13781
394, 8380, 9327, 11701, 13781, 11820
395, 9327, 11701, 13781, 11820, 9388
396, 11701, 13781, 11820, 9388, 5842
397, 13781, 11820, 9388, 5842, 3959
398, 11820, 9388, 5842, 3959, 2779
399, 9388, 5842, 3959, 2779, 2600
400, 5842, 3959, 2779, 2600, 1419
401, 3959, 2779, 2600, 1419, 673
402, 2779, 2600, 1419, 673, 1056
403, 2600, 1419, 673, 1056, 2526
404, 1419, 673, 1056, 2526, 4167
405, 673, 1056, 2526, 4167, 5198
406, 1056, 2526, 4167, 5198, 6149
407, 2526, 4167, 5198, 6149, 6572
408, 4167, 5198, 6149, 6572, 7339
409, 5198, 6149, 6572, 7339, 8360
410, 6149, 6572, 7339, 8360, 9731
411, 6572, 7339, 8360, 9731, 10814
412, 7339, 8360, 9731, 10814, 10967
413, 8360, 9731, 10814, 10967, 12027
414, 9731, 10814, 10967, 12027, 11059
415, 10814, 10967, 12027, 11059, 9384
416, 10967, 12027, 11059, 9384, 5964
417, 12027, 11059, 9384, 5964, 4361
418, 11059, 9384, 5964, 4361, 3109
419, 9384, 5964, 4361, 3109, 3067
420, 5964, 4361, 3109, 3067, 2161
421, 4361, 3109, 3067, 2161, 423
422, 3109, 3067, 2161, 423, 611
423, 3067, 2161, 423, 611, 874
424, 2161, 423, 611, 874, 1648
425, 423, 611, 874, 1648, 2571
426, 611, 874, 1648, 2571, 3393
427, 874, 1648, 2571, 3393, 4356
428, 1648, 2571, 3393, 4356, 4932
429, 2571, 3393, 4356, 4932, 5430
430, 3393, 4356, 4932, 5430, 5992
431, 4356, 4932, 5430, 5992, 6832
432, 4932, 5430, 5992, 6832, 6747
433, 5430, 5992, 6832, 6747, 7466
434, 5992, 6832, 6747, 7466, 6780
435, 6832, 6747, 7466, 6780, 5708
436, 6747, 7466, 6780, 5708, 3878
437, 7466, 6780, 5708, 3878, 2960
438, 6780, 5708, 3878, 2960, 1837
439, 5708, 3878, 2960, 1837, 1714
440, 3878, 2960, 1837, 1714, 1859
441, 2960, 1837, 1714, 1859, 1326
442, 1837, 1714, 1859, 1326, 2892
443, 1714, 1859, 1326, 2892, 9332
444, 1859, 1326, 2892, 9332, 16981
445, 1326, 2892, 9332, 16981, 11085
446, 2892, 9332, 16981, 11085, 6919
447, 9332, 16981, 11085, 6919, 6356
448, 16981, 11085, 6919, 6356, 7136
449, 11085, 6919, 6356, 7136, 8184
450, 6919, 6356, 7136, 8184, 7471
451, 6356, 7136, 8184, 7471, 8440
452, 7136, 8184, 7471, 8440, 10218
453, 8184, 7471, 8440, 10218, 13231
454, 7471, 8440, 10218, 13231, 11461
455, 8440, 10218, 13231, 11461, 8208
456, 10218, 13231, 11461, 8208, 5115
457, 13231, 11461, 8208, 5115, 3355
458, 11461, 8208, 5115, 3355, 2107
459, 8208, 5115, 3355, 2107, 1567
460, 5115, 3355, 2107, 1567, 666
461, 3355, 2107, 1567, 666, 1264
462, 2107, 1567, 666, 1264, 2977
463, 1567, 666, 1264, 2977, 9980
464, 666, 1264, 2977, 9980, 18412
465, 1264, 2977, 9980, 18412, 11667
466, 2977, 9980, 18412, 11667, 7298
467, 9980, 18412, 11667, 7298, 6679
468, 18412, 11667, 7298, 6679, 7733
469, 11667, 7298, 6679, 7733, 8756
470, 7298, 6679, 7733, 8756, 7631
471, 6679, 7733, 8756, 7631, 8216
472, 7733, 8756, 7631, 8216, 10789
473, 8756, 7631, 8216, 10789, 13445
474, 7631, 8216, 10789, 13445, 11962
475, 8216, 10789, 13445, 11962, 8908
476, 10789, 13445, 11962, 8908, 5107
477, 13445, 11962, 8908, 5107, 3232
478, 11962, 8908, 5107, 3232, 2272
479, 8908, 5107, 3232, 2272, 1885
480, 5107, 3232, 2272, 1885, 751
481, 3232, 2272, 1885, 751, 1176
482, 2272, 1885, 751, 1176, 2860
483, 1885, 751, 1176, 2860, 9701
484, 751, 1176, 2860, 9701, 16611
485, 1176, 2860, 9701, 16611, 11632
486, 2860, 9701, 16611, 11632, 7330
487, 9701, 16611, 11632, 7330, 6657
488, 16611, 11632, 7330, 6657, 8081
489, 11632, 7330, 6657, 8081, 8698
490, 7330, 6657, 8081, 8698, 8302
491, 6657, 8081, 8698, 8302, 8793
492, 8081, 8698, 8302, 8793, 10164
493, 8698, 8302, 8793, 10164, 13194
494, 8302, 8793, 10164, 13194, 11966
495, 8793, 10164, 13194, 11966, 9204
496, 10164, 13194, 11966, 9204, 5780
497, 13194, 11966, 9204, 5780, 3841
498, 11966, 9204, 5780, 3841, 2461
499, 9204, 5780, 3841, 2461, 1963
500, 5780, 3841, 2461, 1963, 883
501, 3841, 2461, 1963, 883, 1094
502, 2461, 1963, 883, 1094, 2812
503, 1963, 883, 1094, 2812, 9635
504, 883, 1094, 2812, 9635, 17839
505, 1094, 2812, 9635, 17839, 11795
506, 2812, 9635, 17839, 11795, 7316
507, 9635, 17839, 11795, 7316, 6496
508, 17839, 11795, 7316, 6496, 7524
509, 11795, 7316, 6496, 7524, 8125
510, 7316, 6496, 7524, 8125, 7710
511, 6496, 7524, 8125, 7710, 8589
512, 7524, 8125, 7710, 8589, 10613
513, 8125, 7710, 8589, 10613, 13487
514, 7710, 8589, 10613, 13487, 12195
515, 8589, 10613, 13487, 12195, 9537
516, 10613, 13487, 12195, 9537, 5805
517, 13487, 12195, 9537, 5805, 3830
518, 12195, 9537, 5805, 3830, 2559
519, 9537, 5805, 3830, 2559, 2010
520, 5805, 3830, 2559, 2010, 992
521, 3830, 2559, 2010, 992, 1141
522, 2559, 2010, 992, 1141, 2747
523, 2010, 992, 1141, 2747, 9316
524, 992, 1141, 2747, 9316, 17176
525, 1141, 2747, 9316, 17176, 11696
526, 2747, 9316, 17176, 11696, 7716
527, 9316, 17176, 11696, 7716, 7293
528, 17176, 11696, 7716, 7293, 8453
529, 11696, 7716, 7293, 8453, 8483
530, 7716, 7293, 8453, 8483, 8368
531, 7293, 8453, 8483, 8368, 9330
532, 8453, 8483, 8368, 9330, 11810
533, 8483, 8368, 9330, 11810, 13539
534, 8368, 9330, 11810, 13539, 11321
535, 9330, 11810, 13539, 11321, 9470
536, 11810, 13539, 11321, 9470, 5949
537, 13539, 11321, 9470, 5949, 4006
538, 11321, 9470, 5949, 4006, 2723
539, 9470, 5949, 4006, 2723, 2721
540, 5949, 4006, 2723, 2721, 1306
541, 4006, 2723, 2721, 1306, 573
542, 2723, 2721, 1306, 573, 1057
543, 2721, 1306, 573, 1057, 2510
544, 1306, 573, 1057, 2510, 4496
545, 573, 1057, 2510, 4496, 5393
546, 1057, 2510, 4496, 5393, 6174
547, 2510, 4496, 5393, 6174, 6760
548, 4496, 5393, 6174, 6760, 7369
549, 5393, 6174, 6760, 7369, 8302
550, 6174, 6760, 7369, 8302, 9767
551, 6760, 7369, 8302, 9767, 10612
552, 7369, 8302, 9767, 10612, 11365
553, 8302, 9767, 10612, 11365, 11804
554, 9767, 10612, 11365, 11804, 11298
555, 10612, 11365, 11804, 11298, 9973
556, 11365, 11804, 11298, 9973, 6409
557, 11804, 11298, 9973, 6409, 4331
558, 11298, 9973, 6409, 4331, 3064
559, 9973, 6409, 4331, 3064, 3136
560, 6409, 4331, 3064, 3136, 2042
561, 4331, 3064, 3136, 2042, 439
562, 3064, 3136, 2042, 439, 607
563, 3136, 2042, 439, 607, 944
564, 2042, 439, 607, 944, 1770
565, 439, 607, 944, 1770, 2557
566, 607, 944, 1770, 2557, 3491
567, 944, 1770, 2557, 3491, 4048
568, 1770, 2557, 3491, 4048, 4861
569, 2557, 3491, 4048, 4861, 5279
570, 3491, 4048, 4861, 5279, 6071
571, 4048, 4861, 5279, 6071, 6480
572, 4861, 5279, 6071, 6480, 6798
573, 5279, 6071, 6480, 6798, 7064
574, 6071, 6480, 6798, 7064, 6440
575, 6480, 6798, 7064, 6440, 5456
576, 6798, 7064, 6440, 5456, 3858
577, 7064, 6440, 5456, 3858, 2915
578, 6440, 5456, 3858, 2915, 2039
579, 5456, 3858, 2915, 2039, 1840
580, 3858, 2915, 2039, 1840, 1992
581, 2915, 2039, 1840, 1992, 1183
582, 2039, 1840, 1992, 1183, 2712
583, 1840, 1992, 1183, 2712, 9039
584, 1992, 1183, 2712, 9039, 16610
585, 1183, 2712, 9039, 16610, 10969
586, 2712, 9039, 16610, 10969, 6785
587, 9039, 16610, 10969, 6785, 6333
588, 16610, 10969, 6785, 6333, 7075
589, 10969, 6785, 6333, 7075, 8030
590, 6785, 6333, 7075, 8030, 7333
591, 6333, 7075, 8030, 7333, 8523
592, 7075, 8030, 7333, 8523, 10429
593, 8030, 7333, 8523, 10429, 13180
594, 7333, 8523, 10429, 13180, 11400
595, 8523, 10429, 13180, 11400, 7866
596, 10429, 13180, 11400, 7866, 4402
597, 13180, 11400, 7866, 4402, 2548
598, 11400, 7866, 4402, 2548, 1708
599, 7866, 4402, 2548, 1708, 1468
600, 4402, 2548, 1708, 1468, 624
601, 2548, 1708, 1468, 624, 1081
602, 1708, 1468, 624, 1081, 2870
603, 1468, 624, 1081, 2870, 10166
604, 624, 1081, 2870, 10166, 17912
605, 1081, 2870, 10166, 17912, 11265
606, 2870, 10166, 17912, 11265, 7272
607, 10166, 17912, 11265, 7272, 6616
608, 17912, 11265, 7272, 6616, 7497
609, 11265, 7272, 6616, 7497, 8375
610, 7272, 6616, 7497, 8375, 7672
611, 6616, 7497, 8375, 7672, 8169
612, 7497, 8375, 7672, 8169, 10563
613, 8375, 7672, 8169, 10563, 13215
614, 7672, 8169, 10563, 13215, 11827
615, 8169, 10563, 13215, 11827, 8872
616, 10563, 13215, 11827, 8872, 5287
617, 13215, 11827, 8872, 5287, 2973
618, 11827, 8872, 5287, 2973, 2154
619, 8872, 5287, 2973, 2154, 1813
620, 5287, 2973, 2154, 1813, 704
621, 2973, 2154, 1813, 704, 1177
622, 2154, 1813, 704, 1177, 2820
623, 1813, 704, 1177, 2820, 9615
624, 704, 1177, 2820, 9615, 16768
625, 1177, 2820, 9615, 16768, 11205
626, 2820, 9615, 16768, 11205, 6975
627, 9615, 16768, 11205, 6975, 6327
628, 16768, 11205, 6975, 6327, 7771
629, 11205, 6975, 6327, 7771, 8688
630, 6975, 6327, 7771, 8688, 8397
631, 6327, 7771, 8688, 8397, 8838
632, 7771, 8688, 8397, 8838, 10645
